sphere_type,j,x,y,z,size
current,0,-0.663934,-0.356942,2.187673,0.100000
goal,0,0.800950,0.441246,1.043001,0.050000
region,0,0.800950,0.441246,1.043001,1.000000
current,1,0.658279,-0.547771,2.502344,0.100000
goal,1,0.591414,1.364756,1.597863,0.050000
region,1,0.591414,1.364756,1.597863,1.000000
current,2,-1.063601,-0.394379,1.173588,0.100000
goal,2,1.417939,-0.650125,2.679782,0.050000
region,2,1.417939,-0.650125,2.679782,1.000000
current,3,0.523924,1.741564,1.483644,0.100000
goal,3,-0.180454,0.552101,1.434103,0.050000
region,3,-0.180454,0.552101,1.434103,1.000000
current,4,-0.788340,-0.870823,1.353031,0.100000
goal,4,-1.894805,-0.076067,1.907620,0.050000
region,4,-1.894805,-0.076067,1.907620,1.000000
current,5,0.625846,-1.071085,1.071036,0.100000
goal,5,-1.723885,-1.573388,1.018136,0.050000
region,5,-1.723885,-1.573388,1.018136,1.000000
current,6,-1.978070,-1.148370,1.438562,0.100000
goal,6,1.124373,-0.578554,1.494191,0.050000
region,6,1.124373,-0.578554,1.494191,1.000000
current,7,-0.815969,0.002358,2.074433,0.100000
goal,7,1.971216,-1.196885,1.770918,0.050000
region,7,1.971216,-1.196885,1.770918,1.000000
current,8,1.495765,1.267098,2.662291,0.100000
goal,8,-1.585129,1.835690,1.767167,0.050000
region,8,-1.585129,1.835690,1.767167,1.000000
current,9,0.248495,0.014176,2.745238,0.100000
goal,9,-0.024469,-1.816418,1.459073,0.050000
region,9,-0.024469,-1.816418,1.459073,1.000000
current,10,-1.657585,-1.127366,2.456355,0.100000
goal,10,-1.581408,-1.469075,2.221886,0.050000
region,10,-1.581408,-1.469075,2.221886,1.000000
current,11,-1.612457,-1.012184,1.335219,0.100000
goal,11,1.086803,-0.340529,2.021219,0.050000
region,11,1.086803,-0.340529,2.021219,1.000000
current,12,1.442015,1.804135,2.063318,0.100000
goal,12,1.617387,1.471480,1.224888,0.050000
region,12,1.617387,1.471480,1.224888,1.000000
current,13,1.327527,0.613638,1.452803,0.100000
goal,13,1.437897,-0.515854,1.139067,0.050000
region,13,1.437897,-0.515854,1.139067,1.000000
current,14,1.653982,0.270531,1.219964,0.100000
goal,14,0.405763,0.366761,1.671596,0.050000
region,14,0.405763,0.366761,1.671596,1.000000
current,15,1.476554,0.365675,1.490082,0.100000
goal,15,1.118129,-0.572388,2.853942,0.050000
region,15,1.118129,-0.572388,2.853942,1.000000
current,16,1.262150,1.258462,2.474888,0.100000
goal,16,1.027582,1.298376,2.348812,0.050000
region,16,1.027582,1.298376,2.348812,1.000000
current,17,-0.876957,-0.914958,2.426983,0.100000
goal,17,-1.913467,-0.749015,1.644893,0.050000
region,17,-1.913467,-0.749015,1.644893,1.000000
current,18,-1.017523,1.650342,1.266558,0.100000
goal,18,-0.201443,-0.044351,2.938513,0.050000
region,18,-0.201443,-0.044351,2.938513,1.000000
current,19,1.661001,-1.838302,1.125668,0.100000
goal,19,-1.733274,1.898112,1.228381,0.050000
region,19,-1.733274,1.898112,1.228381,1.000000
current,0,-0.641215,-0.356729,2.177242,0.100000
current,1,0.672230,-0.535695,2.485475,0.100000
current,2,-1.047854,-0.377278,1.164392,0.100000
current,3,0.508372,1.722191,1.480851,0.100000
current,4,-0.782026,-0.882379,1.353390,0.100000
current,5,0.602680,-1.079247,1.066377,0.100000
current,6,-1.989537,-1.159423,1.437141,0.100000
current,7,-0.802112,0.022113,2.067896,0.100000
current,8,1.498492,1.268400,2.687108,0.100000
current,9,0.240453,0.012030,2.746382,0.100000
current,10,-1.664167,-1.147858,2.458366,0.100000
current,11,-1.599813,-1.016787,1.329455,0.100000
current,12,1.454533,1.806044,2.041762,0.100000
current,13,1.306141,0.618641,1.440861,0.100000
current,14,1.652392,0.256857,1.199096,0.100000
current,15,1.477913,0.351583,1.510687,0.100000
current,16,1.237552,1.254539,2.472746,0.100000
current,17,-0.881654,-0.923539,2.428388,0.100000
current,18,-1.011583,1.633076,1.283634,0.100000
current,19,1.649352,-1.819129,1.127416,0.100000
current,0,-0.618883,-0.356322,2.166011,0.100000
current,1,0.685777,-0.522785,2.468898,0.100000
current,2,-1.031169,-0.360969,1.155412,0.100000
current,3,0.492866,1.702773,1.478106,0.100000
current,4,-0.776663,-0.893791,1.353874,0.100000
current,5,0.579684,-1.087658,1.061330,0.100000
current,6,-2.000504,-1.169439,1.435333,0.100000
current,7,-0.788141,0.041931,2.061810,0.100000
current,8,1.498837,1.270752,2.711995,0.100000
current,9,0.232207,0.008260,2.748744,0.100000
current,10,-1.670503,-1.167632,2.460036,0.100000
current,11,-1.587807,-1.020962,1.323987,0.100000
current,12,1.466768,1.807514,2.020010,0.100000
current,13,1.284655,0.620992,1.428300,0.100000
current,14,1.648811,0.242938,1.178640,0.100000
current,15,1.480053,0.337645,1.531330,0.100000
current,16,1.212892,1.250835,2.470973,0.100000
current,17,-0.887398,-0.929956,2.429299,0.100000
current,18,-1.005840,1.615979,1.300947,0.100000
current,19,1.638016,-1.799547,1.129386,0.100000
current,0,-0.596890,-0.355714,2.154140,0.100000
current,1,0.698664,-0.509153,2.452478,0.100000
current,2,-1.013483,-0.345490,1.146891,0.100000
current,3,0.477465,1.683263,1.475431,0.100000
current,4,-0.772184,-0.905026,1.354569,0.100000
current,5,0.556848,-1.096320,1.055994,0.100000
current,6,-2.010734,-1.178805,1.433372,0.100000
current,7,-0.773762,0.061553,2.056045,0.100000
current,8,1.496819,1.273912,2.736712,0.100000
current,9,0.224053,0.002918,2.752492,0.100000
current,10,-1.676418,-1.186728,2.461620,0.100000
current,11,-1.576532,-1.024341,1.318802,0.100000
current,12,1.478695,1.808390,1.998056,0.100000
current,13,1.263142,0.620907,1.415564,0.100000
current,14,1.643759,0.228807,1.158645,0.100000
current,15,1.482915,0.324032,1.552103,0.100000
current,16,1.188172,1.247439,2.469433,0.100000
current,17,-0.894272,-0.934028,2.430061,0.100000
current,18,-1.000283,1.599067,1.318499,0.100000
current,19,1.627037,-1.779659,1.131429,0.100000
current,0,-0.575148,-0.354890,2.141828,0.100000
current,1,0.710785,-0.495048,2.436731,0.100000
current,2,-0.995125,-0.330715,1.138544,0.100000
current,3,0.462113,1.663726,1.472668,0.100000
current,4,-0.768639,-0.916089,1.355503,0.100000
current,5,0.534144,-1.105227,1.050499,0.100000
current,6,-2.020256,-1.187557,1.431253,0.100000
current,7,-0.758977,0.080960,2.050590,0.100000
current,8,1.492644,1.278075,2.761007,0.100000
current,9,0.215980,-0.003980,2.757646,0.100000
current,10,-1.681917,-1.205156,2.463140,0.100000
current,11,-1.565920,-1.027121,1.313815,0.100000
current,12,1.490428,1.808844,1.975985,0.100000
current,13,1.241710,0.618851,1.402859,0.100000
current,14,1.637739,0.214621,1.138960,0.100000
current,15,1.486510,0.310707,1.572948,0.100000
current,16,1.163409,1.244385,2.467860,0.100000
current,17,-0.902492,-0.936002,2.430150,0.100000
current,18,-0.995017,1.582331,1.336309,0.100000
current,19,1.616163,-1.759392,1.133670,0.100000
current,0,-0.553728,-0.353777,2.128984,0.100000
current,1,0.721996,-0.480536,2.421558,0.100000
current,2,-0.976114,-0.316670,1.130400,0.100000
current,3,0.446775,1.644160,1.470041,0.100000
current,4,-0.765935,-0.926803,1.356855,0.100000
current,5,0.511652,-1.114487,1.044722,0.100000
current,6,-2.029184,-1.195739,1.428571,0.100000
current,7,-0.743910,0.100247,2.045491,0.100000
current,8,1.487178,1.283406,2.784813,0.100000
current,9,0.207987,-0.012631,2.764079,0.100000
current,10,-1.687199,-1.223226,2.464275,0.100000
current,11,-1.555978,-1.029150,1.308902,0.100000
current,12,1.501993,1.808707,1.953821,0.100000
current,13,1.220543,0.615387,1.390014,0.100000
current,14,1.630708,0.200588,1.119501,0.100000
current,15,1.490902,0.297464,1.593692,0.100000
current,16,1.139363,1.241724,2.466149,0.100000
current,17,-0.911866,-0.935917,2.429701,0.100000
current,18,-0.989961,1.565850,1.354414,0.100000
current,19,1.605530,-1.738862,1.135983,0.100000
current,0,-0.532514,-0.352433,2.115825,0.100000
current,1,0.732062,-0.465742,2.407157,0.100000
current,2,-0.956453,-0.303400,1.122502,0.100000
current,3,0.431520,1.624548,1.467272,0.100000
current,4,-0.763903,-0.937133,1.358447,0.100000
current,5,0.489320,-1.123945,1.038656,0.100000
current,6,-2.037460,-1.203512,1.425731,0.100000
current,7,-0.728265,0.119163,2.040756,0.100000
current,8,1.480276,1.289757,2.807986,0.100000
current,9,0.200072,-0.022989,2.771660,0.100000
current,10,-1.692215,-1.240745,2.465139,0.100000
current,11,-1.546716,-1.030388,1.304079,0.100000
current,12,1.513186,1.807963,1.931480,0.100000
current,13,1.199635,0.610305,1.377286,0.100000
current,14,1.622765,0.186528,1.100416,0.100000
current,15,1.496071,0.284393,1.614367,0.100000
current,16,1.116883,1.239561,2.464433,0.100000
current,17,-0.922361,-0.933732,2.428973,0.100000
current,18,-0.985257,1.549750,1.372952,0.100000
current,19,1.595058,-1.718276,1.138307,0.100000
current,0,-0.511550,-0.350802,2.102303,0.100000
current,1,0.741073,-0.450278,2.393316,0.100000
current,2,-0.936324,-0.290777,1.114728,0.100000
current,3,0.416312,1.604895,1.464536,0.100000
current,4,-0.762530,-0.947195,1.360352,0.100000
current,5,0.467224,-1.133808,1.032371,0.100000
current,6,-2.045199,-1.210845,1.422716,0.100000
current,7,-0.712226,0.137849,2.036443,0.100000
current,8,1.471994,1.296829,2.830489,0.100000
current,9,0.192297,-0.035220,2.780263,0.100000
current,10,-1.696927,-1.257707,2.465836,0.100000
current,11,-1.538046,-1.030946,1.299291,0.100000
current,12,1.524047,1.806745,1.908995,0.100000
current,13,1.178872,0.604233,1.364754,0.100000
current,14,1.614075,0.172583,1.082081,0.100000
current,15,1.502092,0.271475,1.634907,0.100000
current,16,1.095790,1.237793,2.462494,0.100000
current,17,-0.933823,-0.929841,2.427760,0.100000
current,18,-0.980958,1.533921,1.391819,0.100000
current,19,1.584664,-1.697630,1.140854,0.100000
current,0,-0.490663,-0.349034,2.088679,0.100000
current,1,0.749201,-0.434140,2.379987,0.100000
current,2,-0.915842,-0.278682,1.107033,0.100000
current,3,0.401259,1.585153,1.461593,0.100000
current,4,-0.761694,-0.956747,1.362480,0.100000
current,5,0.445343,-1.144074,1.025983,0.100000
current,6,-2.052330,-1.217821,1.419547,0.100000
current,7,-0.695557,0.156058,2.032499,0.100000
current,8,1.462538,1.304944,2.852163,0.100000
current,9,0.184544,-0.049457,2.789559,0.100000
current,10,-1.701319,-1.274314,2.466370,0.100000
current,11,-1.529902,-1.030740,1.294667,0.100000
current,12,1.534587,1.805029,1.886390,0.100000
current,13,1.158337,0.597248,1.352324,0.100000
current,14,1.605102,0.159131,1.064556,0.100000
current,15,1.508868,0.258818,1.655373,0.100000
current,16,1.076065,1.236324,2.460432,0.100000
current,17,-0.946344,-0.924127,2.426167,0.100000
current,18,-0.976985,1.518394,1.411006,0.100000
current,19,1.574385,-1.677097,1.143407,0.100000
current,0,-0.469963,-0.347131,2.074790,0.100000
current,1,0.756296,-0.417477,2.366926,0.100000
current,2,-0.894995,-0.267126,1.099492,0.100000
current,3,0.386372,1.565312,1.458485,0.100000
current,4,-0.761488,-0.965800,1.365104,0.100000
current,5,0.423721,-1.154625,1.019186,0.100000
current,6,-2.058901,-1.224671,1.416160,0.100000
current,7,-0.678417,0.173921,2.029014,0.100000
current,8,1.451942,1.313646,2.873067,0.100000
current,9,0.177009,-0.065621,2.799578,0.100000
current,10,-1.705289,-1.290598,2.466752,0.100000
current,11,-1.522246,-1.029954,1.289794,0.100000
current,12,1.544907,1.802776,1.863732,0.100000
current,13,1.138296,0.588760,1.340022,0.100000
current,14,1.595451,0.145944,1.047797,0.100000
current,15,1.516106,0.246515,1.675897,0.100000
current,16,1.057757,1.235088,2.458334,0.100000
current,17,-0.959942,-0.916596,2.424059,0.100000
current,18,-0.973396,1.503213,1.430542,0.100000
current,19,1.564022,-1.656496,1.146116,0.100000
current,0,-0.449403,-0.344913,2.060742,0.100000
current,1,0.762461,-0.400695,2.354535,0.100000
current,2,-0.873771,-0.256090,1.092229,0.100000
current,3,0.371527,1.545469,1.455178,0.100000
